Date,MRKT,S5AUCO INDEX,S5CODU INDEX,S5HOTR INDEX,S5MEDA INDEX,S5RETL INDEX,S5FDSR INDEX,S5FDBT INDEX,S5HOUS INDEX,S5ENRSX INDEX,S5BANKX INDEX,S5DIVF INDEX,S5INSU INDEX,S5REAL INDEX,S5HCES INDEX,S5PHRM INDEX,S5CPGS INDEX,S5COMS INDEX,S5TRAN INDEX,S5SFTW INDEX,S5TECH INDEX,S5SSEQX INDEX,S5MATRX INDEX,S5TELSX INDEX,S5UTILX INDEX
9/29/1989,349.15,85.26,78.07,72.39,82.19,67.52,73.61,60.52,49.22,82.42,92.05,69.9496,80.34,,77.54,65.97,68.87,98.48,89.27,52.2,74.29,28.3,78.8,92.56,95.71
10/31/1989,340.36,79.45,73.72,70.57,78.39,64.9,71.65,60.59,50.62,82.92,81.88,68.7779,83.03,,77.08,66.53,66.14,94.82,79,49.03,71.15,27.24,74.48,91.36,97.11
11/30/1989,345.99,77.31,72.68,71.12,77.68,65.34,73.39,61.93,52.57,85.84,79.27,67.2301,86.28,,81.47,69.59,68.5,94.32,77.85,49.94,69.44,28.57,75.94,93.41,99.53
12/29/1989,353.4,75.95,72.49,70.41,76.24,65.87,73.41,63.31,55.81,91.62,77.78,63.3699,82.54,,83.41,69.91,70.3,97.84,79.54,50.77,67.67,28.39,78.08,99.89,103.76
1/31/1990,329.08,73.07,66.77,61.04,69.39,63.06,67.84,56.86,51,88.24,69.09,56.3498,74.54,,75.72,65.58,67.91,88.97,73.23,47.86,68.68,28.46,72.01,86.98,98.43
2/28/1990,331.89,77.19,67.05,60.53,69.58,64.37,66.31,55.99,50.24,89.81,72.12,58.3219,75.86,,75.68,63.46,69.33,88.93,77.64,50.62,71,30.68,72.44,86.51,97.43
3/30/1990,339.94,78.97,70.56,59.46,68.9,68.36,69.71,59.17,53.36,90.07,68.53,57.484,74.38,,76.83,65.77,72.27,93.34,79.69,52.41,73.67,32.14,73.57,90.85,95.7
4/30/1990,330.8,74.99,67.03,54.54,67.16,66.72,69.31,60.2,53.27,86.62,65.29,57.8371,69.47,,73.03,66.45,70.74,92.77,76.59,48.42,73.51,31.49,69.91,87.53,90.36
5/31/1990,361.23,80.28,72.42,62.56,74.86,75.26,77.18,65.73,60.38,91.94,73.03,65.9565,77.46,,82.79,74.92,76.05,101.34,80.06,55.12,82.56,38.58,75.15,95.02,94.71
6/29/1990,358.02,77.81,71.84,62.48,73.38,76.42,79.82,67.88,63.35,89.83,68.65,67.1518,74.97,,87.15,78.08,75.14,104.37,78.84,56.1,80.72,37.74,72.67,89.1,94.69
7/31/1990,356.15,74.61,69.03,55.48,67.62,72.68,79.8,68.48,64.55,98.24,62.64,64.5719,74.2,,87.15,80.79,74.56,101.2,76.52,44.43,75.88,35.02,74.99,85.3,94.89
8/31/1990,322.56,63.67,61.85,48.23,60.53,62.94,72.81,64.27,57.81,95.89,55.48,54.2877,65.48,,81.53,74.38,64.87,91.12,66.16,39.26,66.33,29.02,66.51,77.28,87.41
9/28/1990,306.05,56.9,56.24,41.7,57.49,57.36,69.03,62.38,54.06,93.06,46.8,47.1202,58.93,,80.06,71.22,59.72,81.07,61.15,33.54,64.13,27.13,61.51,79.98,88.08
10/31/1990,304,55.19,54.32,40.5,54.86,55.66,67.82,65.37,59.08,89.97,41.56,43.2733,55.68,,81.44,72.35,57.95,79.47,59.63,33.49,61.26,24.6,59.5,83.47,95.43
11/30/1990,322.22,56.15,60.84,44.62,60.82,62.39,71.51,68.93,61.61,91.61,49.28,48.0129,66.06,,88.55,79.07,61.54,80.14,63.17,39.06,66.77,26.15,63.8,82.53,96.33
12/31/1990,330.22,55.19,62.99,46.55,64.02,63.85,75.51,71.4,64.46,90.34,52.1,50.7861,69.01,,90.86,80.34,64.33,84.3,67.03,38.55,69.87,27.81,67.2,82.24,96.17
1/31/1991,343.93,57.47,68.88,46.09,70.2,71.24,80.7,73.74,61.67,88.08,56.02,56.0134,72.6,,97.04,82.69,69.65,93.13,75.58,41.39,79.25,30.85,70.58,81.24,94.09
2/28/1991,367.07,63.58,74.43,53.5,71.58,76.21,85.21,81.74,63.79,95.48,62.87,62.5788,78.62,,103.97,90.57,72.89,101.29,78.1,45.25,82.73,33.25,73.34,83.13,97.63
3/29/1991,375.22,62.56,77.15,57.86,71.93,82.22,93.22,86.33,65.55,95.4,65.6,67.7035,83.11,,111.89,94.45,73.73,100,75.87,47.4,79.21,32.54,73.08,84.53,98.89
4/30/1991,375.35,60.47,76.35,56.66,73.76,84.85,92.34,84.44,64.3,97.83,70.14,66.7618,78.6,,109.63,94.13,73.1,100.05,79.38,49.98,75.79,35.1,75.26,84.26,97.89
5/31/1991,389.83,70.19,78.77,60.67,75.38,93.03,92,87.48,65.71,96.15,75.17,70.8914,79.21,,112.83,97.89,79.43,105.03,86.2,51.36,78.25,38.29,82.25,82.85,97.31
6/28/1991,371.16,68.2,74.54,55.6,69.29,88.09,90.03,82.86,60.59,91.54,68.91,65.6181,75.8,,105.3,94.16,75.88,97.23,80.72,49.2,71.24,33.46,79.93,82.78,94.37
7/31/1991,387.81,66.84,79.48,56.29,70.97,94.14,89.01,88.67,64.34,96.82,74.18,73.6133,74.89,,113.34,101.58,75.94,101.03,85.22,48.61,74.41,33.16,82.93,84.27,97.96
8/30/1991,395.43,63.59,82.76,55.82,70.51,99.8,88.4,94.28,66.19,96.98,80.61,75.0258,73.98,,114.47,104.51,76.96,102.79,85.8,49.96,73.7,34.43,82.31,84.57,100.7
9/30/1991,387.86,62.13,83.75,57.9,69.11,95.04,81.59,90.45,66.98,95.7,78.69,77.5159,73.36,,111.47,102.96,74.23,99.33,86.05,50,72.46,29.63,79.4,83.58,104.08
